priority,stone,guide,url,stone_demand_impr_16mo,intent_demand_impr_16mo,top_stone_query,score
P1,pyrite,meaning,/gemstones/pyrite/meaning,48102,3173,पाइराइट स्टोन किसे पहनना चाहिए,73486
P1,pyrite,how-to-cleanse,/gemstones/pyrite/how-to-cleanse,48102,886,पाइराइट स्टोन किसे पहनना चाहिए,55190
P1,pyrite,price-guide,/gemstones/pyrite/price-guide,48102,183,पाइराइट स्टोन किसे पहनना चाहिए,49566
P1,pyrite,how-to-identify,/gemstones/pyrite/how-to-identify,48102,47,पाइराइट स्टोन किसे पहनना चाहिए,48478
P1,pyrite,sleeping-with,/gemstones/pyrite/sleeping-with,48102,0,पाइराइट स्टोन किसे पहनना चाहिए,48102
P1,pyrite,combinations,/gemstones/pyrite/combinations,48102,0,पाइराइट स्टोन किसे पहनना चाहिए,48102
P1,pyrite,affirmations,/gemstones/pyrite/affirmations,48102,0,पाइराइट स्टोन किसे पहनना चाहिए,48102
P1,tortoise-ring,meaning,/gemstones/tortoise-ring/meaning,11661,447,who should not wear tortoise ring,15237
P1,amethyst,how-to-cleanse,/gemstones/amethyst/how-to-cleanse,12883,146,amethyst stone,14051
P1,amethyst,price-guide,/gemstones/amethyst/price-guide,12883,41,amethyst stone,13211
P1,amethyst,how-to-identify,/gemstones/amethyst/how-to-identify,12883,3,amethyst stone,12907
P1,amethyst,combinations,/gemstones/amethyst/combinations,12883,0,amethyst stone,12883
P1,amethyst,affirmations,/gemstones/amethyst/affirmations,12883,0,amethyst stone,12883
P1,jade,price-guide,/gemstones/jade/price-guide,11675,58,who should not wear jade,12139
P1,jade,how-to-identify,/gemstones/jade/how-to-identify,11675,5,who should not wear jade,11715
P1,jade,how-to-cleanse,/gemstones/jade/how-to-cleanse,11675,0,who should not wear jade,11675
P1,jade,sleeping-with,/gemstones/jade/sleeping-with,11675,0,who should not wear jade,11675
P1,jade,combinations,/gemstones/jade/combinations,11675,0,who should not wear jade,11675
P1,jade,affirmations,/gemstones/jade/affirmations,11675,0,who should not wear jade,11675
P1,tortoise-ring,how-to-cleanse,/gemstones/tortoise-ring/how-to-cleanse,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,can-go-in-water,/gemstones/tortoise-ring/can-go-in-water,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,sleeping-with,/gemstones/tortoise-ring/sleeping-with,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,how-to-identify,/gemstones/tortoise-ring/how-to-identify,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,price-guide,/gemstones/tortoise-ring/price-guide,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,combinations,/gemstones/tortoise-ring/combinations,11661,0,who should not wear tortoise ring,11661
P1,tortoise-ring,affirmations,/gemstones/tortoise-ring/affirmations,11661,0,who should not wear tortoise ring,11661
P1,rose-quartz,how-to-cleanse,/gemstones/rose-quartz/how-to-cleanse,7431,413,rose quartz,10735
P1,tiger-eye,how-to-cleanse,/gemstones/tiger-eye/how-to-cleanse,10026,2,who should not wear tiger eye stone,10042
