url,section,macro,seed,kind,stone,guide,status,priority,frame,title,meta_title,meta_description,words,batch,doc_id,doc_link,redirects,open_evidence_gaps
/angel-numbers/0,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 0: Meaning, Potential & Spiritual Significance",Angel Number 0 Meaning: Numerology & Spiritual Contexts,"In angel number tradition, 0 is associated with infinite potential and divine wholeness. Learn its unique numerological role and meaning in love, career, and spirit.",1136,batch-102,1fW2j6_WyB_2RkjqII0tV5bTXzqjSjJw4bnEhOXY7Ddw,https://docs.google.com/document/d/1fW2j6_WyB_2RkjqII0tV5bTXzqjSjJw4bnEhOXY7Ddw/edit?usp=drivesdk,,Zero's role in numerology varies across traditions; some systems exclude it while others treat it as the foundational container of all numbers. This range is noted in the article.
/angel-numbers/100,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,"Angel Number 100: Meaning, Love & Spiritual Significance",Angel Number 100 Meaning: Numerology & Significance,Angel number 100 is linked in numerology to fresh starts and divine alignment. Learn how double zero amplifies the 1 and what the tradition associates with this number.,1252,batch-104,1p_7esHnHso_x5htDEEYtXbqUmlg2KKMVv81Ynxdb0AQ,https://docs.google.com/document/d/1p_7esHnHso_x5htDEEYtXbqUmlg2KKMVv81Ynxdb0AQ/edit?usp=drivesdk,,none
/angel-numbers/1010,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,"Angel Number 1010: Meaning, Love & Spiritual Significance",Angel Number 1010 Meaning: Numerology & Significance,"Angel number 1010 is linked in numerology to new beginnings, spiritual awakening, and the amplifying power of zero. Learn what the tradition says and why.",1113,batch-104,1kDd6mvhUPeGeHHw8dJC-iv92V54HXLUs1Pl4GMfmyZ8,https://docs.google.com/document/d/1kDd6mvhUPeGeHHw8dJC-iv92V54HXLUs1Pl4GMfmyZ8/edit?usp=drivesdk,,none
/angel-numbers/11,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 11: Meaning & Spiritual Significance,Angel Number 11 Meaning: Intuition & Awakening,"Angel number 11 is a master number associated in numerology with intuition, spiritual awakening, and heightened sensitivity. Learn what the tradition holds.",1042,batch-103,14y5F_aTEXLURT898JbpBLHePw3f3mav1_jRPS9wcrOo,https://docs.google.com/document/d/14y5F_aTEXLURT898JbpBLHePw3f3mav1_jRPS9wcrOo/edit?usp=drivesdk,,"Numerological associations are tradition with no empirical basis; cited sources (Millman 1995, Fontaine 2005, Virtue 2008) represent the tradition accurately."
/angel-numbers/111,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,Angel Number 111: Meaning & Spiritual Significance,"Angel Number 111: Meaning, Love & Spiritual Significance","Angel number 111 is associated in spiritual traditions with new beginnings, alignment, and manifestation. Explore what practitioners believe it signals.",954,batch-101,1KUf2RNF8QFSmsCBAA9ShgP5yy1H-ZIA6YS2mPPJ2Bt0,https://docs.google.com/document/d/1KUf2RNF8QFSmsCBAA9ShgP5yy1H-ZIA6YS2mPPJ2Bt0/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept; the framework originates in modern New Age spirituality (1990s onward)."
/angel-numbers/1111,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,"Angel Number 1111: Meaning, Awareness & Spiritual Significance",Angel Number 1111 Meaning: Numerology & Life Contexts,"In angel number tradition, 1111 is associated with heightened awareness and new beginnings. Learn its numerological construction and meaning in love, career, and spirit.",1112,batch-102,1hrTe7RIA_EVDVhgvq5Wd6Hx9Y-Ga6tT3d5Ja1VJrFcE,https://docs.google.com/document/d/1hrTe7RIA_EVDVhgvq5Wd6Hx9Y-Ga6tT3d5Ja1VJrFcE/edit?usp=drivesdk,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/angel-numbers/1122,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,"Angel Number 1122: Meaning, Love & Spiritual Significance",Angel Number 1122 Meaning: Numerology & Significance,Angel number 1122 contains master numbers 11 and 22. Learn what the tradition associates with this sequence and how numerologists interpret its construction.,1191,batch-104,17GclcE6363IWjPcBzWtSrCxsC1RkqwL0XjJrfiDJ-WY,https://docs.google.com/document/d/17GclcE6363IWjPcBzWtSrCxsC1RkqwL0XjJrfiDJ-WY/edit?usp=drivesdk,,none
/angel-numbers/1212,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,"Angel Number 1212: Meaning, Love & Spiritual Significance",Angel Number 1212 Meaning: Numerology & Significance,"Angel number 1212 is linked in numerology to balance, harmony, and spiritual growth. Learn how the number is constructed and what the tradition associates with it.",1169,batch-104,1U86lZ3dVc6KltEhEhIGt0s8MkA_iIYNNg3R9FrO7OqU,https://docs.google.com/document/d/1U86lZ3dVc6KltEhEhIGt0s8MkA_iIYNNg3R9FrO7OqU/edit?usp=drivesdk,,none
/angel-numbers/1234,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,"Angel Number 1234: Meaning, Love & Spiritual Significance",Angel Number 1234 Meaning: Numerology & Significance,Angel number 1234 is linked in numerology to sequential progress and step-by-step momentum. Learn the numerological basis and common life-context interpretations.,1179,batch-104,1hFgDgeHFlVN2XI_66O92vK0T5COluQHfBcXLniRrUPA,https://docs.google.com/document/d/1hFgDgeHFlVN2XI_66O92vK0T5COluQHfBcXLniRrUPA/edit?usp=drivesdk,,none
/angel-numbers/200,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,Angel Number 200: Meaning & Spiritual Significance,"Angel Number 200: Meaning, Love & Spiritual Significance","Angel number 200 is associated in numerological tradition with balance, patience, and partnership. Learn what practitioners believe it signals and how it is interpreted.",1067,batch-105,1GgY1Al9vb_I4uwywErCNMPbvTI3vdDVEEnHl4xLGsCo,https://docs.google.com/document/d/1GgY1Al9vb_I4uwywErCNMPbvTI3vdDVEEnHl4xLGsCo/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
