url,wave,published_on,checked_on,indexed,impressions_28d,clicks_28d,position,note
/compare/black-tourmaline-vs-obsidian,1,2026-09-19,"","","","","",""
/compare/citrine-vs-yellow-topaz,1,2026-09-19,"","","","","",""
/compare/lab-created-vs-natural-gemstones,1,2026-09-19,"","","","","",""
/compare/larvikite-vs-labradorite,1,2026-09-19,"","","","","",""
/compare/moonstone-vs-opal,1,2026-09-19,"","","","","",""
/compare/purple-quartz-vs-amethyst,1,2026-09-19,"","","","","",""
/compare/rose-quartz-vs-pink-quartz,1,2026-09-19,"","","","","",""
/compare/ruby-vs-garnet,1,2026-09-19,"","","","","",""
/compare/sapphire-vs-tanzanite,1,2026-09-19,"","","","","",""
/compare/tree-agate-vs-moss-agate,1,2026-09-19,"","","","","",""
/learn/are-online-crystals-real,1,2026-09-19,"","","","","",""
/learn/are-rocks-alive,1,2026-09-19,"","","","","",""
/learn/birthstone-guide,1,2026-09-19,"","","","","",""
/learn/chakra-crystals-guide,1,2026-09-19,"","","","","",""
/learn/crystal-grids,1,2026-09-19,"","","","","",""
/learn/crystal-healing-science,1,2026-09-19,"","","","","",""
/learn/crystal-journaling,1,2026-09-19,"","","","","",""
/learn/crystal-meditation,1,2026-09-19,"","","","","",""
/learn/crystal-pendulums,1,2026-09-19,"","","","","",""
/learn/crystal-sprays,1,2026-09-19,"","","","","",""
/learn/crystal-storage,1,2026-09-19,"","","","","",""
/learn/ethical-crystal-sourcing,1,2026-09-19,"","","","","",""
/learn/gemstone-vs-crystal-vs-mineral,1,2026-09-19,"","","","","",""
/learn/how-are-gemstones-formed,1,2026-09-19,"","","","","",""
/learn/how-to-charge-crystals,1,2026-09-19,"","","","","",""
/learn/how-to-cleanse-crystals,1,2026-09-19,"","","","","",""
/learn/how-to-know-if-a-chakra-bracelet-is-real,1,2026-09-19,"","","","","",""
/learn/how-to-program-crystals,1,2026-09-19,"","","","","",""
/learn/how-to-start-crystal-collection,1,2026-09-19,"","","","","",""
/learn/mohs-hardness-scale,1,2026-09-19,"","","","","",""
/learn/salt-safe-crystals,1,2026-09-19,"","","","","",""
/learn/sun-safe-crystals,1,2026-09-19,"","","","","",""
/learn/types-of-gemstone-cuts,1,2026-09-19,"","","","","",""
/learn/types-of-gemstone-lustre,1,2026-09-19,"","","","","",""
/learn/what-crystals-can-go-in-water,1,2026-09-19,"","","","","",""
