Raw Topic,Title Tag,URL Slug,Meta Description,Section,Macro Context,Content Type,Priority,Status,Name Count Target
Cleaning + Business Names,1000+ Cleaning Business Names: Creative & Catchy Ideas [2026],/business-names/cleaning,"Find the perfect cleaning business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (optimize),1000+
Construction + Business Names,1000+ Construction Business Names: Creative & Catchy Ideas [2026],/business-names/construction,"Find the perfect construction business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Embroidery + Business Names,1000+ Embroidery Business Names: Creative & Catchy Ideas [2026],/business-names/embroidery,"Find the perfect embroidery business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (update),1000+
Stationery + Business Names,1000+ Stationery Business Names: Creative & Catchy Ideas [2026],/business-names/stationery,"Find the perfect stationery business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (update),1000+
Sewing + Business Names,1000+ Sewing Business Names: Creative & Catchy Ideas [2026],/business-names/sewing,"Find the perfect sewing business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (update),1000+
Crystal + Business Names,1000+ Crystal Business Names: Creative & Catchy Ideas [2026],/business-names/crystal,"Find the perfect crystal business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (update),1000+
Jewelry + Business Names,1000+ Jewelry Business Names: Creative & Catchy Ideas [2026],/business-names/jewelry,"Find the perfect jewelry business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Photography + Business Names,1000+ Photography Business Names: Creative & Catchy Ideas [2026],/business-names/photography,"Find the perfect photography business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Craft + Business Names,1000+ Craft Business Names: Creative & Catchy Ideas [2026],/business-names/craft,"Find the perfect craft business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Boutique + Business Names,1000+ Boutique Business Names: Creative & Catchy Ideas [2026],/business-names/boutique,"Find the perfect boutique business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Flower Shop + Business Names,1000+ Flower Shop Business Names: Creative & Catchy Ideas [2026],/business-names/flower-shop,"Find the perfect flower shop business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Crochet + Business Names,1000+ Crochet Business Names: Creative & Catchy Ideas [2026],/business-names/crochet,"Find the perfect crochet business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,MEDIUM,Existing (optimize),1000+
Food Truck + Business Names,1000+ Food Truck Business Names: Creative & Catchy Ideas [2026],/business-names/food-truck,"Find the perfect food truck business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Candle + Business Names,1000+ Candle Business Names: Creative & Catchy Ideas [2026],/business-names/candle,"Find the perfect candle business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,HIGH,Existing (redo),1000+
Massage + Business Names,1000+ Massage Business Names: Creative & Catchy Ideas [2026],/business-names/massage,"Find the perfect massage business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,MEDIUM,Existing (optimize),1000+
Handyman + Business Names,1000+ Handyman Business Names: Creative & Catchy Ideas [2026],/business-names/handyman,"Find the perfect handyman business name. 1000+ creative, unique, and catchy name ideas.",Core,A. Industry Names,Industry Name Page,MEDIUM,Existing (update),1000+
