Raw Topic,Title Tag,URL Slug,Meta Description,Section,Macro Context,Content Type,Priority,Status,Image Alt Text
Amethyst + Meaning & Properties,"Amethyst: Meaning, Properties, Benefits & Complete Guide",/gemstones/amethyst,"Discover amethyst meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Amethyst crystal showing natural beauty and formation
Rose Quartz + Meaning & Properties,"Rose Quartz: Meaning, Properties, Benefits & Complete Guide",/gemstones/rose-quartz,"Discover rose quartz meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Rose Quartz crystal showing natural beauty and formation
Jade + Meaning & Properties,"Jade: Meaning, Properties, Benefits & Complete Guide",/gemstones/jade,"Discover jade meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Jade crystal showing natural beauty and formation
Pyrite + Meaning & Properties,"Pyrite: Meaning, Properties, Benefits & Complete Guide",/gemstones/pyrite,"Discover pyrite meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Pyrite crystal showing natural beauty and formation
Tiger Eye + Meaning & Properties,"Tiger Eye: Meaning, Properties, Benefits & Complete Guide",/gemstones/tiger-eye,"Discover tiger eye meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Tiger Eye crystal showing natural beauty and formation
Black Tourmaline + Meaning & Properties,"Black Tourmaline: Meaning, Properties, Benefits & Complete Guide",/gemstones/black-tourmaline,"Discover black tourmaline meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Black Tourmaline crystal showing natural beauty and formation
Moonstone + Meaning & Properties,"Moonstone: Meaning, Properties, Benefits & Complete Guide",/gemstones/moonstone,"Discover moonstone meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Moonstone crystal showing natural beauty and formation
Labradorite + Meaning & Properties,"Labradorite: Meaning, Properties, Benefits & Complete Guide",/gemstones/labradorite,"Discover labradorite meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Labradorite crystal showing natural beauty and formation
Lapis Lazuli + Meaning & Properties,"Lapis Lazuli: Meaning, Properties, Benefits & Complete Guide",/gemstones/lapis-lazuli,"Discover lapis lazuli meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Lapis Lazuli crystal showing natural beauty and formation
Obsidian + Meaning & Properties,"Obsidian: Meaning, Properties, Benefits & Complete Guide",/gemstones/obsidian,"Discover obsidian meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Obsidian crystal showing natural beauty and formation
Citrine + Meaning & Properties,"Citrine: Meaning, Properties, Benefits & Complete Guide",/gemstones/citrine,"Discover citrine meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Citrine crystal showing natural beauty and formation
Malachite + Meaning & Properties,"Malachite: Meaning, Properties, Benefits & Complete Guide",/gemstones/malachite,"Discover malachite meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Malachite crystal showing natural beauty and formation
Turquoise + Meaning & Properties,"Turquoise: Meaning, Properties, Benefits & Complete Guide",/gemstones/turquoise,"Discover turquoise meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Turquoise crystal showing natural beauty and formation
Garnet + Meaning & Properties,"Garnet: Meaning, Properties, Benefits & Complete Guide",/gemstones/garnet,"Discover garnet meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Garnet crystal showing natural beauty and formation
Hematite + Meaning & Properties,"Hematite: Meaning, Properties, Benefits & Complete Guide",/gemstones/hematite,"Discover hematite meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Hematite crystal showing natural beauty and formation
Carnelian + Meaning & Properties,"Carnelian: Meaning, Properties, Benefits & Complete Guide",/gemstones/carnelian,"Discover carnelian meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Carnelian crystal showing natural beauty and formation
Selenite + Meaning & Properties,"Selenite: Meaning, Properties, Benefits & Complete Guide",/gemstones/selenite,"Discover selenite meaning, healing properties, and benefits. Complete guide to this powerful crystal.",Core,B. Hub Pages,Hub Page,HIGH,Existing (redo as hub),Selenite crystal showing natural beauty and formation
