url,guide,gap
/angel-numbers/0,,Zero's role in numerology varies across traditions; some systems exclude it while others treat it as the foundational container of all numbers. This range is noted in the article.
/angel-numbers/11,,"Numerological associations are tradition with no empirical basis; cited sources (Millman 1995, Fontaine 2005, Virtue 2008) represent the tradition accurately."
/angel-numbers/111,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept; the framework originates in modern New Age spirituality (1990s onward)."
/angel-numbers/1111,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/angel-numbers/200,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/22,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/222,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/300,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/33,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/333,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/400,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/44,,Whether 44 qualifies as a master number varies by numerological tradition; both interpretations are noted in the draft.
/angel-numbers/444,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/500,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/55,,Whether 55 is treated as a master number depends on the tradition; this is noted clearly in the draft.
/angel-numbers/555,,No peer-reviewed evidence exists linking angel numbers to predictable life outcomes; associations are tradition only.
/angel-numbers/66,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/666,,"No peer-reviewed evidence supports angel number frameworks as predictive systems; cultural fear associations with 666 are religious/literary in origin, not numerological."
/angel-numbers/77,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/777,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/angel-numbers/888,,No peer-reviewed evidence supports angel number frameworks as predictive systems; abundance associations are tradition only.
/angel-numbers/911,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/999,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/compare/citrine-vs-yellow-topaz,,"Much of the citrine sold commercially is heat-treated amethyst; prevalence figure is not precisely quantifiable from public sources, but GIA notes heat treatment is common in the trade."
/compare/lab-created-vs-natural-gemstones,,"Retail price premium for natural vs. lab-created varies substantially by gem type, grade, and market conditions; price ranges current as of September 2026 are illustrative — exact figures change with supply."
/compare/larvikite-vs-labradorite,,Mohs hardness of larvikite as a whole rock is not standardized — depends on proportion of feldspar vs. other minerals; estimate 6–6.5 based on dominant feldspar component.
/compare/moonstone-vs-opal,,Retail price ranges described qualitatively; not verified against current (September 2026) primary retail sources.
/compare/rose-quartz-vs-pink-quartz,,The exact mineral identity of the color-causing nanofibers in rose quartz remains technically unresolved — Goreva et al. (2001) confirmed dumortierite-related structure but noted FTIR/Raman spectra do not exactly match standard dumortierite; described as a closely related material.
/compare/ruby-vs-garnet,,Retail price ranges not verified against current (September 2026) primary retail sources; described qualitatively with price drivers instead.
/compare/sapphire-vs-tanzanite,,Tanzanite does not have a hub page in the site inventory so it was not linked to a hub. Retail price ranges described qualitatively; not verified against current (September 2026) primary retail sources.
/compare/tree-agate-vs-moss-agate,,"Specific inclusion mineral in tree agate dendrites varies by locality (manganese oxide, iron oxide, or both); no single authoritative source resolves the exact ratio across all commercial material."
/crystals/amazonite-and-rose-quartz-together,,Amazonite color-fading rate in direct sunlight not quantified in primary sources reviewed. Exact Mohs for amazonite/microcline is 6.0–6.5; some sources cite 6.5.
/crystals/amethyst-and-clear-quartz-together,,Retail evidence for herkimer diamond hub URL not in known_urls; no open gaps for this pair
/crystals/aquamarine-and-moonstone-together,,Moonstone adularescence fading under prolonged UV is reported anecdotally in trade sources but precise conditions are not well-documented.
/crystals/bloodstone-and-carnelian-together,,No bloodstone hub page exists on the site; hub link omitted from article.
/crystals/chrysocolla-and-lapis-lazuli-together,,No chrysocolla hub page exists on the site; hub link omitted from article.
/crystals/citrine-and-pyrite-together,,Natural versus heat-treated citrine sun-fading rate not quantified in primary sources; minor variation in published Mohs for pyrite (6.0–6.5) noted.
/crystals/clear-quartz-and-rose-quartz-together,,Rose quartz sun-fading rate varies by specimen; no quantified primary source found. Prolonged salt exposure effects on rose quartz surface not quantified.
/crystals/crystals-for-anxiety,,"Retail prices for lepidolite, blue lace agate, and sodalite tumbled stones not confirmed from a single US retailer; described qualitatively. No peer-reviewed evidence that crystals reduce anxiety symptoms beyond placebo."
/crystals/crystals-for-beginners,,"Retail prices for all six stones vary widely by grade and source; current single-source price evidence not confirmed, so prices described qualitatively only."
/crystals/crystals-for-concentration,,No clinical evidence that crystals improve cognitive concentration or focus. Retail prices not confirmed from a single current source; omitted.
/crystals/crystals-for-confidence,,No clinical evidence that crystals affect confidence or self-perception. Retail prices not confirmed from a single current source; omitted. Sunstone variety (oligoclase vs. labradorite feldspar) not always specified by sellers.
/crystals/crystals-for-connection,,No clinical evidence that crystals improve social bonds or communication. Retail prices not confirmed from a single current source; omitted.
/crystals/crystals-for-creativity,,No clinical evidence that crystals affect creativity or artistic output. Retail prices not confirmed from a single current source; omitted.
/crystals/crystals-for-grief,,No clinical evidence that crystals assist grief processing; all claims framed as tradition. Retail prices not confirmed across all stones listed; omitted.
/crystals/crystals-for-grounding,,No clinical studies confirm that specific crystals produce grounding effects. Retail price ranges not confirmed from a single current US source; omitted.
/crystals/crystals-for-healing,,No randomized controlled trials demonstrate that specific crystals produce health outcomes beyond placebo; noted in article with link to /learn/crystal-healing-science.
/crystals/crystals-for-independence,,No clinical evidence links specific stones to increased self-reliance. Sunstone inclusion chemistry (copper vs. iron oxide) differs by origin; retail labeling rarely specifies this distinction. Retail prices not confirmed.
/crystals/crystals-for-jealousy,,No clinical evidence that crystals affect jealousy or emotional states. Chrysoprase is mentioned in tradition but has no hub page on this site. Retail prices not confirmed from current source; omitted.
/crystals/crystals-for-love,,No clinical evidence that crystals affect emotional states or relationships. Retail price ranges not confirmed from a single current source; omitted. Exact Mindat URLs for some varieties may redirect to parent species pages.
/crystals/crystals-for-meditation,,No clinical studies confirm that specific crystals alter meditation outcomes. Retail prices omitted — no current single-source evidence confirmed.
/crystals/crystals-for-money,,No evidence that crystals produce financial outcomes. Most commercial citrine is heat-treated amethyst; distinction noted but prices not confirmed from a single current US source and are omitted. Malachite dust toxicity noted.
/crystals/crystals-for-new-home,,No clinical studies confirm that crystals affect the energy or atmosphere of a home. Retail prices vary widely by size and form; not confirmed from a single current US source; omitted.
/crystals/crystals-for-nightmares,,No clinical evidence supports crystals as a treatment for nightmares or trauma-related sleep disturbance. Retail prices not confirmed across all listed stones; omitted.
/crystals/crystals-for-nurses,,"No clinical studies confirm crystals reduce nursing burnout or improve patient outcomes. Prehnite does not have a hub page in the gemstone directory, so no internal link was added for it. Angelite (anhydrite, CaSO4, Mohs 3.5) was carried in legacy content but is not in the stone directory; dropped from rewrite per contract section 6."
/crystals/crystals-for-pregnancy,,"No clinical evidence supports crystal use during pregnancy. Which crystals are 'safe' or 'unsafe' in pregnancy is based entirely on tradition, not toxicology, except where mineral chemistry indicates real hazards (noted inline). Retail prices not confirmed across all listed stones."
/crystals/crystals-for-protection,,No clinical studies confirm crystals provide protection from external threats. Retail price ranges not confirmed from a single current US source; omitted.
/crystals/crystals-for-self-love,,No clinical evidence supports crystals as a tool for self-esteem or self-compassion. Retail prices for most stones in this guide not confirmed from a single current US source; omitted except amethyst/rose quartz range cited for anxiety piece.
/crystals/crystals-for-sleep,,No clinical studies confirm that specific crystals improve sleep outcomes. Retail prices for howlite and lepidolite not confirmed from a single current US source; omitted.
/crystals/crystals-for-students,,No clinical studies confirm that specific crystals improve memory or academic performance. The environmental-cueing mechanism (Godden/Baddeley 1975; Gollwitzer/Sheeran 2006) is plausible but not tested specifically with stones. Retail prices not confirmed from a single current source.
/crystals/crystals-for-tarot,,No studies confirm crystals affect tarot reading accuracy or quality. Retail prices omitted — no current single-source evidence confirmed.
/crystals/crystals-for-travel,,No clinical studies confirm crystals influence travel safety or outcomes. Retail price ranges for aquamarine and turquoise vary widely by grade; not confirmed from a single current US source; omitted.
/crystals/crystals-for-workplace,,No clinical studies confirm that desk crystals improve work performance or reduce measurable stress. Environmental cueing as a mechanism is plausible from behavioral psychology but not tested specifically with stones. Retail prices not confirmed from a single current source.
/crystals/fluorite-and-amethyst-together,,Fluorite fading in sunlight is well-documented; exact rate by color variety not quantified in sources reviewed.
/crystals/garnet-and-rose-quartz-together,,Garnet Mohs varies by species (6.5–7.5 across the garnet group); almandine and pyrope (most common red garnets) typically cited at 7.0–7.5. Rose quartz fading rate in sun not quantified in primary sources.
/crystals/howlite-and-amethyst-together,,Howlite is frequently dyed to simulate turquoise; dye stability under water or sunlight varies by dye type. Readers should be advised to check whether their howlite is dyed before any water or sun exposure.
/crystals/jade-and-rose-quartz-together,,"Jade in commerce refers to both nephrite (Mohs ~6.0) and jadeite (Mohs ~6.5-7.0); hardness comparison with rose quartz depends on jade variety. Seed data value of 6.5 used as representative. The commercial jade simulant problem (treated stone, dyed material) is noted but not exhaustively catalogued."
/crystals/kunzite-and-rose-quartz-together,,No kunzite hub page exists on the site; hub link omitted from article.
/crystals/kyanite-and-selenite-together,,Mindat pages for kyanite (min-2330) and selenite/gypsum (min-1785) were inaccessible during research due to server timeouts. Hardness values (kyanite anisotropic 4.5–7 Mohs; selenite/gypsum Mohs 2) and selenite water-solubility are well-established mineralogical facts consistent with site seed data and confirmed by the site's own water-safety content for selenite. No gaps affect article accuracy.
/crystals/labradorite-and-amethyst-together,,Labradorite fading rate in sunlight not quantified in primary sources; some variation in published Mohs range (6.0–6.5 for labradorite feldspar) noted.
/crystals/lapis-lazuli-and-sodalite-together,,"Lapis lazuli is a rock aggregate (lazurite, calcite, pyrite, sodalite); Mohs rating represents surface hardness of the aggregate; individual component hardness varies."
/crystals/lava-stone-and-black-tourmaline-together,,Lava stone Mohs corrected to 5–6 (seed value 3.5 wrong)
/crystals/moldavite-and-citrine-together,,Most commercial citrine is heat-treated amethyst; fading behavior differs slightly from natural citrine but both require care in direct sunlight. Sellers rarely disclose treatment status.
/crystals/moldavite-and-herkimer-diamond-together,,"No hub page exists for Herkimer diamond in known_urls; linked only at first mention as named entity without hub link. Herkimer diamond is a doubly-terminated quartz variety mined in Herkimer County, NY; Mohs hardness as quartz is 7; some sources cite 7–7.5 for the specific crystal habit."
/crystals/obsidian-and-selenite-together,,Obsidian Mohs is commonly cited as 5–5.5; exact figure varies slightly by source due to its glassy amorphous nature. Selenite dissolution rate in humid air versus water not quantified in sources reviewed.
/crystals/peridot-and-citrine-together,,Peridot sunlight fading rate not precisely quantified in available sources; general guidance to limit prolonged UV exposure applies to most colored stones.
/crystals/sodalite-and-amethyst-together,,Sodalite water sensitivity (surface hazing with repeated exposure) is reported in trade sources but a precise exposure threshold is not documented. Site guidance of 'technically possible but not recommended' followed.
/crystals/tiger-eye-and-black-tourmaline-together,,Tiger eye's historical crocidolite asbestos replacement is noted; polished commercial specimens are generally considered safe for handling. Precise water-exposure threshold for tiger eye is not uniformly established in sources.
