page_id,url,level,macro,seed,intent_id,frame,question,stone,status,priority,decision,drive_folder
P-0001,/gemstones/pyrite/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-pyrite-meaning,Explanation,"What does Pyrite mean, what is it, and what is it traditionally used for?",pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0002,/gemstones/pyrite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-pyrite-how-to-cleanse,Instruction,How do I cleanse and recharge Pyrite without damaging it?,pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0003,/gemstones/pyrite/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-pyrite-price-guide,Explanation,"How much does Pyrite cost, what drives its price, and how do I avoid overpaying?",pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0004,/gemstones/pyrite/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-pyrite-how-to-identify,Instruction,"How do I tell real Pyrite from fakes, glass, dyed or imitation material?",pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0005,/gemstones/pyrite/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-pyrite-sleeping-with,Explanation,"Is it sensible to sleep with Pyrite under the pillow or by the bed, and how is it done?",pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0006,/gemstones/pyrite/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-pyrite-combinations,Evaluation,"Which crystals pair well with Pyrite, for which goals, and which pairings to avoid?",pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0007,/gemstones/pyrite/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-pyrite-affirmations,Instruction,Which affirmations suit Pyrite and how do I use them with the stone?,pyrite,new,P1,draft,6 Gemstone Sub-pages
P-0008,/gemstones/amethyst/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-amethyst-how-to-cleanse,Instruction,How do I cleanse and recharge Amethyst without damaging it?,amethyst,new,P1,draft,6 Gemstone Sub-pages
P-0009,/gemstones/amethyst/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-amethyst-price-guide,Explanation,"How much does Amethyst cost, what drives its price, and how do I avoid overpaying?",amethyst,new,P1,draft,6 Gemstone Sub-pages
P-0010,/gemstones/amethyst/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-amethyst-how-to-identify,Instruction,"How do I tell real Amethyst from fakes, glass, dyed or imitation material?",amethyst,new,P1,draft,6 Gemstone Sub-pages
P-0011,/gemstones/amethyst/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-amethyst-combinations,Evaluation,"Which crystals pair well with Amethyst, for which goals, and which pairings to avoid?",amethyst,new,P1,draft,6 Gemstone Sub-pages
P-0012,/gemstones/amethyst/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-amethyst-affirmations,Instruction,Which affirmations suit Amethyst and how do I use them with the stone?,amethyst,new,P1,draft,6 Gemstone Sub-pages
P-0013,/gemstones/jade/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-jade-price-guide,Explanation,"How much does Jade cost, what drives its price, and how do I avoid overpaying?",jade,new,P1,draft,6 Gemstone Sub-pages
P-0014,/gemstones/jade/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-jade-how-to-identify,Instruction,"How do I tell real Jade from fakes, glass, dyed or imitation material?",jade,new,P1,draft,6 Gemstone Sub-pages
P-0015,/gemstones/jade/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-jade-how-to-cleanse,Instruction,How do I cleanse and recharge Jade without damaging it?,jade,new,P1,draft,6 Gemstone Sub-pages
P-0016,/gemstones/jade/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-jade-sleeping-with,Explanation,"Is it sensible to sleep with Jade under the pillow or by the bed, and how is it done?",jade,new,P1,draft,6 Gemstone Sub-pages
P-0017,/gemstones/jade/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-jade-combinations,Evaluation,"Which crystals pair well with Jade, for which goals, and which pairings to avoid?",jade,new,P1,draft,6 Gemstone Sub-pages
P-0018,/gemstones/jade/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-jade-affirmations,Instruction,Which affirmations suit Jade and how do I use them with the stone?,jade,new,P1,draft,6 Gemstone Sub-pages
P-0019,/gemstones/rose-quartz/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-rose-quartz-how-to-cleanse,Instruction,How do I cleanse and recharge Rose Quartz without damaging it?,rose-quartz,new,P1,draft,6 Gemstone Sub-pages
P-0020,/gemstones/tiger-eye/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-tiger-eye-how-to-cleanse,Instruction,How do I cleanse and recharge Tiger Eye without damaging it?,tiger-eye,new,P1,draft,6 Gemstone Sub-pages
P-0021,/gemstones/tiger-eye/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-tiger-eye-how-to-identify,Instruction,"How do I tell real Tiger Eye from fakes, glass, dyed or imitation material?",tiger-eye,new,P1,draft,6 Gemstone Sub-pages
P-0022,/gemstones/tiger-eye/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-tiger-eye-price-guide,Explanation,"How much does Tiger Eye cost, what drives its price, and how do I avoid overpaying?",tiger-eye,new,P1,draft,6 Gemstone Sub-pages
P-0023,/gemstones/tiger-eye/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-tiger-eye-combinations,Evaluation,"Which crystals pair well with Tiger Eye, for which goals, and which pairings to avoid?",tiger-eye,new,P2,draft,6 Gemstone Sub-pages
P-0024,/gemstones/tiger-eye/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-tiger-eye-affirmations,Instruction,Which affirmations suit Tiger Eye and how do I use them with the stone?,tiger-eye,new,P2,draft,6 Gemstone Sub-pages
P-0025,/gemstones/rose-quartz/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-rose-quartz-how-to-identify,Instruction,"How do I tell real Rose Quartz from fakes, glass, dyed or imitation material?",rose-quartz,new,P2,draft,6 Gemstone Sub-pages
P-0026,/gemstones/rose-quartz/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-rose-quartz-price-guide,Explanation,"How much does Rose Quartz cost, what drives its price, and how do I avoid overpaying?",rose-quartz,new,P2,draft,6 Gemstone Sub-pages
P-0027,/gemstones/rose-quartz/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-rose-quartz-combinations,Evaluation,"Which crystals pair well with Rose Quartz, for which goals, and which pairings to avoid?",rose-quartz,new,P2,draft,6 Gemstone Sub-pages
P-0028,/gemstones/rose-quartz/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-rose-quartz-affirmations,Instruction,Which affirmations suit Rose Quartz and how do I use them with the stone?,rose-quartz,new,P2,draft,6 Gemstone Sub-pages
P-0029,/gemstones/garnet/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-garnet-meaning,Explanation,"What does Garnet mean, what is it, and what is it traditionally used for?",garnet,new,P2,draft,6 Gemstone Sub-pages
P-0030,/gemstones/lava-stone/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-lava-stone-price-guide,Explanation,"How much does Lava Stone cost, what drives its price, and how do I avoid overpaying?",lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0031,/gemstones/lava-stone/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-lava-stone-how-to-cleanse,Instruction,How do I cleanse and recharge Lava Stone without damaging it?,lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0032,/gemstones/lava-stone/can-go-in-water,Node,M1 Stone Atlas,S1.3 can-go-in-water,INT-lava-stone-can-go-in-water,Explanation,"Can Lava Stone go in water safely, and how should it be cleaned without damage?",lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0033,/gemstones/lava-stone/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-lava-stone-sleeping-with,Explanation,"Is it sensible to sleep with Lava Stone under the pillow or by the bed, and how is it done?",lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0034,/gemstones/lava-stone/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-lava-stone-how-to-identify,Instruction,"How do I tell real Lava Stone from fakes, glass, dyed or imitation material?",lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0035,/gemstones/lava-stone/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-lava-stone-combinations,Evaluation,"Which crystals pair well with Lava Stone, for which goals, and which pairings to avoid?",lava-stone,new,P2,draft,6 Gemstone Sub-pages
P-0036,/gemstones/lava-stone/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-lava-stone-affirmations,Instruction,Which affirmations suit Lava Stone and how do I use them with the stone?,lava-stone,new,P2,draft,6 Gemstone Sub-pages
