page_id,url,template,audience,intent_id,main_entities,status,source_date
L-0001,/gemstones/agate,gemstone hub,enthusiast/buyer,INT-agate-hub,Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0002,/gemstones/amazonite,gemstone hub,enthusiast/buyer,INT-amazonite-hub,Amazonite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0003,/gemstones/amethyst,gemstone hub,enthusiast/buyer,INT-amethyst-hub,Amethyst,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0004,/gemstones/angel-aura-quartz,gemstone hub,enthusiast/buyer,INT-angel-aura-quartz-hub,Angel Aura Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0005,/gemstones/aquamarine,gemstone hub,enthusiast/buyer,INT-aquamarine-hub,Aquamarine,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0006,/gemstones/aventurine,gemstone hub,enthusiast/buyer,INT-aventurine-hub,Aventurine,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0007,/gemstones/black-agate,gemstone hub,enthusiast/buyer,INT-black-agate-hub,Black Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0008,/gemstones/black-moonstone,gemstone hub,enthusiast/buyer,INT-black-moonstone-hub,Black Moonstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0009,/gemstones/black-obsidian,gemstone hub,enthusiast/buyer,INT-black-obsidian-hub,Black Obsidian,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0010,/gemstones/black-onyx,gemstone hub,enthusiast/buyer,INT-black-onyx-hub,Black Onyx,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0011,/gemstones/black-tourmaline,gemstone hub,enthusiast/buyer,INT-black-tourmaline-hub,Black Tourmaline,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0012,/gemstones/blue-lace-agate,gemstone hub,enthusiast/buyer,INT-blue-lace-agate-hub,Blue Lace Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0013,/gemstones/blue-onyx,gemstone hub,enthusiast/buyer,INT-blue-onyx-hub,Blue Onyx,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0014,/gemstones/blue-sandstone,gemstone hub,enthusiast/buyer,INT-blue-sandstone-hub,Blue Sandstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0015,/gemstones/blue-tigers-eye,gemstone hub,enthusiast/buyer,INT-blue-tigers-eye-hub,Blue Tiger's Eye,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0016,/gemstones/botswana-agate,gemstone hub,enthusiast/buyer,INT-botswana-agate-hub,Botswana Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0017,/gemstones/brazilian-agate,gemstone hub,enthusiast/buyer,INT-brazilian-agate-hub,Brazilian Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0018,/gemstones/calcite,gemstone hub,enthusiast/buyer,INT-calcite-hub,Calcite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0019,/gemstones/caribbean-calcite,gemstone hub,enthusiast/buyer,INT-caribbean-calcite-hub,Caribbean Calcite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0020,/gemstones/carnelian,gemstone hub,enthusiast/buyer,INT-carnelian-hub,Carnelian,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0021,/gemstones/carnelian-agate,gemstone hub,enthusiast/buyer,INT-carnelian-agate-hub,Carnelian Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0022,/gemstones/cats-eye,gemstone hub,enthusiast/buyer,INT-cats-eye-hub,Cat's Eye,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0023,/gemstones/cherry-quartz,gemstone hub,enthusiast/buyer,INT-cherry-quartz-hub,Cherry Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0024,/gemstones/citrine,gemstone hub,enthusiast/buyer,INT-citrine-hub,Citrine,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0025,/gemstones/clear-quartz,gemstone hub,enthusiast/buyer,INT-clear-quartz-hub,Clear Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0026,/gemstones/crackle-quartz,gemstone hub,enthusiast/buyer,INT-crackle-quartz-hub,Crackle Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0027,/gemstones/crazy-lace-agate,gemstone hub,enthusiast/buyer,INT-crazy-lace-agate-hub,Crazy Lace Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0028,/gemstones/diamond,gemstone hub,enthusiast/buyer,INT-diamond-hub,Diamond,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0029,/gemstones/druzy-quartz,gemstone hub,enthusiast/buyer,INT-druzy-quartz-hub,Druzy Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0030,/gemstones/emerald,gemstone hub,enthusiast/buyer,INT-emerald-hub,Emerald,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0031,/gemstones/enhydro-agate,gemstone hub,enthusiast/buyer,INT-enhydro-agate-hub,Enhydro Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0032,/gemstones/fancy-jasper,gemstone hub,enthusiast/buyer,INT-fancy-jasper-hub,Fancy Jasper,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0033,/gemstones/flower-agate,gemstone hub,enthusiast/buyer,INT-flower-agate-hub,Flower Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0034,/gemstones/fluorite,gemstone hub,enthusiast/buyer,INT-fluorite-hub,Fluorite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0035,/gemstones/garden-quartz,gemstone hub,enthusiast/buyer,INT-garden-quartz-hub,Garden Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0036,/gemstones/garnet,gemstone hub,enthusiast/buyer,INT-garnet-hub,Garnet,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0037,/gemstones/grape-agate,gemstone hub,enthusiast/buyer,INT-grape-agate-hub,Grape Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0038,/gemstones/green-goldstone,gemstone hub,enthusiast/buyer,INT-green-goldstone-hub,Green Goldstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0039,/gemstones/green-opal,gemstone hub,enthusiast/buyer,INT-green-opal-hub,Green Opal,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0040,/gemstones/hematite,gemstone hub,enthusiast/buyer,INT-hematite-hub,Hematite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0041,/gemstones/hematite-rings,gemstone hub,enthusiast/buyer,INT-hematite-rings-hub,Hematite Rings,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0042,/gemstones/hematoid-quartz,gemstone hub,enthusiast/buyer,INT-hematoid-quartz-hub,Hematoid Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0043,/gemstones/honey-calcite,gemstone hub,enthusiast/buyer,INT-honey-calcite-hub,Honey Calcite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0044,/gemstones/howlite,gemstone hub,enthusiast/buyer,INT-howlite-hub,Howlite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0045,/gemstones/indian-agate,gemstone hub,enthusiast/buyer,INT-indian-agate-hub,Indian Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0046,/gemstones/jade,gemstone hub,enthusiast/buyer,INT-jade-hub,Jade,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0047,/gemstones/kyanite,gemstone hub,enthusiast/buyer,INT-kyanite-hub,Kyanite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0048,/gemstones/labradorite,gemstone hub,enthusiast/buyer,INT-labradorite-hub,Labradorite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0049,/gemstones/lapis-lazuli,gemstone hub,enthusiast/buyer,INT-lapis-lazuli-hub,Lapis Lazuli,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0050,/gemstones/larimar,gemstone hub,enthusiast/buyer,INT-larimar-hub,Larimar,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0051,/gemstones/larvikite,gemstone hub,enthusiast/buyer,INT-larvikite-hub,Larvikite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0052,/gemstones/lava-stone,gemstone hub,enthusiast/buyer,INT-lava-stone-hub,Lava Stone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0053,/gemstones/lepidolite,gemstone hub,enthusiast/buyer,INT-lepidolite-hub,Lepidolite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0054,/gemstones/malachite,gemstone hub,enthusiast/buyer,INT-malachite-hub,Malachite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0055,/gemstones/moldavite,gemstone hub,enthusiast/buyer,INT-moldavite-hub,Moldavite,live; body copy thin for most (out of scope),sitemap 2026-09-17
