source_page_id,source_url,destination_url,relationship,anchor,current_or_proposed,reason
P-0001,/gemstones/pyrite/meaning,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0001,/gemstones/pyrite/meaning,/gemstones/pyrite/combinations,sibling,(writer chooses descriptive anchor),proposed,pairing follows meaning
P-0001,/gemstones/pyrite/meaning,/gemstones/pyrite/affirmations,sibling,(writer chooses descriptive anchor),proposed,using the stone intentionally
P-0001,/gemstones/pyrite/meaning,/gemstones/pyrite/who-should-not-wear,sibling,(writer chooses descriptive anchor),proposed,cautions before adopting the stone
P-0001,/gemstones/pyrite/meaning,/learn/gemstone-vs-crystal-vs-mineral,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0001,/gemstones/pyrite/meaning,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0001,/gemstones/pyrite/meaning,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0001,/gemstones/pyrite/meaning,/gemstones/zodiac/leo,taxonomy,(writer chooses descriptive anchor),proposed,zodiac filter page
P-0002,/gemstones/pyrite/how-to-cleanse,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0002,/gemstones/pyrite/how-to-cleanse,/gemstones/pyrite/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0002,/gemstones/pyrite/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0002,/gemstones/pyrite/how-to-cleanse,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0002,/gemstones/pyrite/how-to-cleanse,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0002,/gemstones/pyrite/how-to-cleanse,/learn/how-to-charge-crystals,next-step,(writer chooses descriptive anchor),proposed,charging follows cleansing
